Model,Recall,Precision
Logistic Regression,1.0,0.8762
Logistic Regression,0.9986,0.8838
Logistic Regression,0.995,0.8897
Logistic Regression,0.9922,0.8963
Logistic Regression,0.9857,0.8997
Logistic Regression,0.9807,0.9046
Logistic Regression,0.975,0.9089
Logistic Regression,0.9658,0.9106
Logistic Regression,0.9579,0.913
Logistic Regression,0.9472,0.9127
Logistic Regression,0.9401,0.9159
Logistic Regression,0.9315,0.9178
Logistic Regression,0.9251,0.9218
Logistic Regression,0.9173,0.9252
Logistic Regression,0.9087,0.9272
Logistic Regression,0.8994,0.9286
Logistic Regression,0.8902,0.93
Logistic Regression,0.8823,0.9329
Logistic Regression,0.873,0.9344
Logistic Regression,0.8631,0.9358
Logistic Regression,0.8545,0.9381
Logistic Regression,0.8459,0.9405
Logistic Regression,0.8388,0.9446
Logistic Regression,0.8281,0.9447
Logistic Regression,0.8181,0.9456
Logistic Regression,0.8074,0.9465
Logistic Regression,0.7967,0.9466
Logistic Regression,0.7874,0.9485
Logistic Regression,0.7782,0.9503
Logistic Regression,0.7689,0.9523
Logistic Regression,0.7582,0.9525
Logistic Regression,0.7468,0.9527
Logistic Regression,0.7354,0.952
Logistic Regression,0.724,0.9513
Logistic Regression,0.7126,0.9505
Logistic Regression,0.7011,0.9498
Logistic Regression,0.6897,0.949
Logistic Regression,0.6797,0.9501
Logistic Regression,0.6683,0.9503
Logistic Regression,0.6583,0.9515
Logistic Regression,0.6498,0.9549
Logistic Regression,0.6398,0.9563
Logistic Regression,0.6291,0.9566
Logistic Regression,0.6177,0.9558
Logistic Regression,0.607,0.9573
Logistic Regression,0.5963,0.9576
Logistic Regression,0.5856,0.958
Logistic Regression,0.5742,0.9572
Logistic Regression,0.5628,0.9564
Logistic Regression,0.5514,0.9555
Logistic Regression,0.5392,0.9545
Logistic Regression,0.5285,0.9549
Logistic Regression,0.5171,0.9539
Logistic Regression,0.5064,0.9543
Logistic Regression,0.495,0.9533
Logistic Regression,0.4843,0.9537
Logistic Regression,0.4722,0.9525
Logistic Regression,0.4608,0.9514
Logistic Regression,0.4508,0.9532
Logistic Regression,0.4394,0.9521
Logistic Regression,0.4287,0.9525
Logistic Regression,0.4173,0.9512
Logistic Regression,0.4051,0.9498
Logistic Regression,0.3944,0.9502
Logistic Regression,0.383,0.9488
Logistic Regression,0.3723,0.9491
Logistic Regression,0.3609,0.9476
Logistic Regression,0.3495,0.9459
Logistic Regression,0.3388,0.9462
Logistic Regression,0.3281,0.9485
Logistic Regression,0.3174,0.9488
Logistic Regression,0.3074,0.9514
Logistic Regression,0.296,0.9497
Logistic Regression,0.2846,0.9477
Logistic Regression,0.2732,0.9457
Logistic Regression,0.2611,0.9433
Logistic Regression,0.2511,0.9462
Logistic Regression,0.2397,0.9438
Logistic Regression,0.2297,0.9471
Logistic Regression,0.219,0.9475
Logistic Regression,0.2076,0.9448
Logistic Regression,0.1969,0.9485
Logistic Regression,0.1862,0.9491
Logistic Regression,0.1762,0.9537
Logistic Regression,0.1662,0.9588
Logistic Regression,0.1555,0.9604
Logistic Regression,0.1441,0.9573
Logistic Regression,0.1327,0.9588
Logistic Regression,0.122,0.9607
Logistic Regression,0.1106,0.9568
Logistic Regression,0.0999,0.9589
Logistic Regression,0.0884,0.9538
Logistic Regression,0.077,0.9474
Logistic Regression,0.0649,0.9381
Logistic Regression,0.0542,0.9383
Logistic Regression,0.0428,0.9231
Logistic Regression,0.0314,0.898
Logistic Regression,0.0221,0.9394
Logistic Regression,0.0114,0.9412
Logistic Regression,0.0,1.0
Decision Tree,1.0,0.8762
Decision Tree,0.9016,0.9074
Decision Tree,0.0,1.0
Random Forest,1.0,0.8762
Random Forest,1.0,0.8768
Random Forest,0.9993,0.8767
Random Forest,0.9993,0.8778
Random Forest,0.9993,0.8784
Random Forest,0.9986,0.8788
Random Forest,0.9986,0.8794
Random Forest,0.9979,0.8804
Random Forest,0.9979,0.881
Random Forest,0.9979,0.8826
Random Forest,0.9979,0.8832
Random Forest,0.9979,0.8843
Random Forest,0.9971,0.8843
Random Forest,0.9964,0.8859
Random Forest,0.9964,0.8881
Random Forest,0.9964,0.8898
Random Forest,0.9957,0.8914
Random Forest,0.995,0.8919
Random Forest,0.995,0.8925
Random Forest,0.995,0.8942
Random Forest,0.995,0.896
Random Forest,0.995,0.8971
Random Forest,0.995,0.8983
Random Forest,0.995,0.8994
Random Forest,0.995,0.9
Random Forest,0.9943,0.9005
Random Forest,0.9936,0.901
Random Forest,0.9936,0.9028
Random Forest,0.9936,0.9034
Random Forest,0.9936,0.9057
Random Forest,0.9936,0.9063
Random Forest,0.9936,0.9093
Random Forest,0.9936,0.9116
Random Forest,0.9929,0.9128
Random Forest,0.9922,0.9145
Random Forest,0.9922,0.9157
Random Forest,0.9922,0.9169
Random Forest,0.9886,0.9191
Random Forest,0.9872,0.9208
Random Forest,0.985,0.9237
Random Forest,0.9843,0.9237
Random Forest,0.9836,0.9261
Random Forest,0.9836,0.9292
Random Forest,0.9829,0.9323
Random Forest,0.9815,0.9335
Random Forest,0.975,0.9337
Random Forest,0.9736,0.9337
Random Forest,0.9658,0.9344
Random Forest,0.9643,0.9356
Random Forest,0.9601,0.9373
Random Forest,0.9572,0.9404
Random Forest,0.9508,0.9414
Random Forest,0.9494,0.9426
Random Forest,0.9437,0.943
Random Forest,0.9408,0.9428
Random Forest,0.9337,0.9444
Random Forest,0.9301,0.9456
Random Forest,0.9187,0.9464
Random Forest,0.9165,0.9462
Random Forest,0.9044,0.9491
Random Forest,0.9009,0.9511
Random Forest,0.8959,0.9522
Random Forest,0.8909,0.9527
Random Forest,0.8802,0.9522
Random Forest,0.8745,0.9526
Random Forest,0.8645,0.9528
Random Forest,0.8566,0.9524
Random Forest,0.8438,0.9533
Random Forest,0.8395,0.9538
Random Forest,0.8302,0.9541
Random Forest,0.8231,0.9537
Random Forest,0.8096,0.9538
Random Forest,0.8039,0.9551
Random Forest,0.7832,0.9548
Random Forest,0.7668,0.9539
Random Forest,0.7489,0.9554
Random Forest,0.7354,0.9555
Random Forest,0.7019,0.9544
Random Forest,0.6883,0.9545
Random Forest,0.6562,0.9553
Random Forest,0.6355,0.956
Random Forest,0.597,0.9555
Random Forest,0.5785,0.9541
Random Forest,0.5399,0.9522
Random Forest,0.515,0.9525
Random Forest,0.4629,0.9502
Random Forest,0.4379,0.9519
Random Forest,0.3909,0.9481
Random Forest,0.3552,0.9468
Random Forest,0.2917,0.9534
Random Forest,0.2618,0.9508
Random Forest,0.2033,0.95
Random Forest,0.1769,0.943
Random Forest,0.1163,0.9368
Random Forest,0.0835,0.9435
Random Forest,0.0357,0.9259
Random Forest,0.0171,0.9231
Random Forest,0.0043,1.0
Random Forest,0.0021,1.0
Random Forest,0.0,1.0
Gradient Boosting,1.0,0.8762
Gradient Boosting,0.9971,0.8826
Gradient Boosting,0.9943,0.889
Gradient Boosting,0.9943,0.8982
Gradient Boosting,0.9929,0.9062
Gradient Boosting,0.9914,0.9151
Gradient Boosting,0.99,0.9235
Gradient Boosting,0.9886,0.9321
Gradient Boosting,0.985,0.9395
Gradient Boosting,0.9779,0.9429
Gradient Boosting,0.9708,0.9465
Gradient Boosting,0.9629,0.9494
Gradient Boosting,0.9551,0.9523
Gradient Boosting,0.9451,0.9532
Gradient Boosting,0.9337,0.9527
Gradient Boosting,0.9237,0.9543
Gradient Boosting,0.9123,0.9538
Gradient Boosting,0.9016,0.954
Gradient Boosting,0.8909,0.9542
Gradient Boosting,0.8802,0.9544
Gradient Boosting,0.8688,0.9538
Gradient Boosting,0.8581,0.954
Gradient Boosting,0.8481,0.9558
Gradient Boosting,0.8367,0.9552
Gradient Boosting,0.826,0.9554
Gradient Boosting,0.8146,0.9548
Gradient Boosting,0.8031,0.9542
Gradient Boosting,0.7917,0.9536
Gradient Boosting,0.781,0.9538
Gradient Boosting,0.7682,0.9531
Gradient Boosting,0.7568,0.9524
Gradient Boosting,0.7461,0.9526
Gradient Boosting,0.7347,0.9519
Gradient Boosting,0.724,0.9522
Gradient Boosting,0.7126,0.9514
Gradient Boosting,0.7019,0.9516
Gradient Boosting,0.6912,0.9528
Gradient Boosting,0.6805,0.953
Gradient Boosting,0.6698,0.9533
Gradient Boosting,0.6583,0.9525
Gradient Boosting,0.6476,0.9528
Gradient Boosting,0.6362,0.952
Gradient Boosting,0.6248,0.9511
Gradient Boosting,0.6155,0.9546
Gradient Boosting,0.6049,0.955
Gradient Boosting,0.5942,0.9553
Gradient Boosting,0.5827,0.9544
Gradient Boosting,0.572,0.9548
Gradient Boosting,0.5606,0.9539
Gradient Boosting,0.5506,0.9554
Gradient Boosting,0.5392,0.9558
Gradient Boosting,0.5278,0.9548
Gradient Boosting,0.5164,0.9539
Gradient Boosting,0.505,0.9529
Gradient Boosting,0.4936,0.9519
Gradient Boosting,0.4822,0.9508
Gradient Boosting,0.4715,0.9511
Gradient Boosting,0.4593,0.9499
Gradient Boosting,0.4486,0.9502
Gradient Boosting,0.4372,0.9489
Gradient Boosting,0.4265,0.9492
Gradient Boosting,0.4158,0.9495
Gradient Boosting,0.4051,0.9498
Gradient Boosting,0.3937,0.9485
Gradient Boosting,0.3816,0.9469
Gradient Boosting,0.3702,0.9454
Gradient Boosting,0.3595,0.9456
Gradient Boosting,0.3481,0.9439
Gradient Boosting,0.3367,0.9421
Gradient Boosting,0.3252,0.9402
Gradient Boosting,0.3174,0.9488
Gradient Boosting,0.306,0.9491
Gradient Boosting,0.2946,0.9472
Gradient Boosting,0.2832,0.9452
Gradient Boosting,0.2732,0.948
Gradient Boosting,0.2646,0.9562
Gradient Boosting,0.2539,0.957
Gradient Boosting,0.2425,0.9551
Gradient Boosting,0.2311,0.9558
Gradient Boosting,0.2204,0.9567
Gradient Boosting,0.2097,0.9577
Gradient Boosting,0.199,0.9588
Gradient Boosting,0.1876,0.9564
Gradient Boosting,0.1769,0.9575
Gradient Boosting,0.1655,0.9547
Gradient Boosting,0.1541,0.9558
Gradient Boosting,0.1434,0.9571
Gradient Boosting,0.132,0.9536
Gradient Boosting,0.1213,0.9551
Gradient Boosting,0.1098,0.9506
Gradient Boosting,0.0984,0.9452
Gradient Boosting,0.0877,0.9462
Gradient Boosting,0.0756,0.9381
Gradient Boosting,0.0649,0.9381
Gradient Boosting,0.0535,0.9259
Gradient Boosting,0.0435,0.9385
Gradient Boosting,0.0321,0.9184
Gradient Boosting,0.0228,0.9697
Gradient Boosting,0.0114,0.9412
Gradient Boosting,0.0,1.0
